year,source,age,country
2004,hunted,11,fi
2009,hunted,6,fi
2010,hunted,12,fi
2010,hunted,9,fi
2010,hunted,0,fi
2010,hunted,0,fi
2010,hunted,8,fi
2010,hunted,2,fi
2010,hunted,1,fi
2010,hunted,0,fi
2010,hunted,5,fi
2010,hunted,0,fi
2010,hunted,0,fi
2010,hunted,12,fi
2010,hunted,10,fi
2010,hunted,3,fi
2010,hunted,4,fi
2011,hunted,2,fi
2011,hunted,24,fi
2011,hunted,2,fi
2011,hunted,2,fi
2011,hunted,0,fi
2011,hunted,1,fi
2011,hunted,2,fi
2011,hunted,0,fi
2011,hunted,8,fi
2011,hunted,1,fi
2011,hunted,4,fi
2011,hunted,2,fi
2011,hunted,2,fi
2011,hunted,6,fi
2011,hunted,1,fi
2011,hunted,4,fi
2011,hunted,19,fi
2011,hunted,6,fi
2011,hunted,28,fi
2011,hunted,11,fi
2011,hunted,7,fi
2011,hunted,7,fi
2011,hunted,11,fi
2011,hunted,15,fi
2011,hunted,5,fi
2011,hunted,7,fi
2011,hunted,8,fi
2011,hunted,13,fi
2011,hunted,8,fi
2011,hunted,9,fi
2011,hunted,14,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,21,fi
2011,hunted,1,fi
2011,hunted,2,fi
2011,hunted,9,fi
2011,bycaught,4,fi
2011,bycaught,3,fi
2011,hunted,4,fi
2011,bycaught,27,fi
2012,bycaught,1,fi
2012,hunted,1,fi
2012,hunted,21,fi
2012,hunted,13,fi
2012,hunted,1,fi
2012,hunted,4,fi
2012,hunted,5,fi
2012,hunted,22,fi
2012,hunted,13,fi
2012,hunted,0,fi
2012,hunted,11,fi
2012,hunted,0,fi
2012,hunted,0,fi
2012,hunted,11,fi
2012,hunted,17,fi
2012,hunted,7,fi
2012,hunted,12,fi
2012,hunted,5,fi
2012,hunted,8,fi
2012,hunted,17,fi
2012,hunted,0,fi
2012,bycaught,0,fi
2012,hunted,8,fi
2012,hunted,9,fi
2012,hunted,15,fi
2012,hunted,4,fi
2012,hunted,9,fi
2012,hunted,15,fi
2012,hunted,9,fi
2012,bycaught,0,fi
2012,bycaught,0,fi
2012,hunted,0,fi
2012,bycaught,0,fi
2012,bycaught,13,fi
2012,hunted,0,fi
2012,hunted,2,fi
2012,hunted,0,fi
2012,hunted,0,fi
2012,hunted,0,fi
2012,bycaught,0,fi
2012,hunted,9,fi
2012,hunted,17,fi
2012,bycaught,8,fi
2012,bycaught,19,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,6,fi
2013,hunted,4,fi
2013,hunted,16,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,10,fi
2013,hunted,26,fi
2013,hunted,18,fi
2013,hunted,6,fi
2013,hunted,12,fi
2013,hunted,0,fi
2013,hunted,0,fi
2012,hunted,0,fi
2012,hunted,0,fi
2013,hunted,0,fi
